level,learning_goals,theme,sheet_width,task,layout,answer,html_file
2nd year fundamental,"counting, addition","candies",800px,"Count candies in two bowls and calculate the total.","The activity is organized with a description at the top, followed by an image of two bowls with candies. Below the image, three questions prompt the student to count and calculate the total.","The correct answers are: A) '6', B) '7', C) '13'."


2nd year fundamental,"addition, counting",celebrations,600px,"Calculate the total number of balloons at a party by adding red and blue balloons.","The activity is organized with a description at the top, followed by an illustration of a party with balloons. Below the description, a question prompts the student to calculate the total balloons.","Red balloons (13) + blue balloons (15) = 28 balloons."

2nd year fundamental,"addition, counting",numbers,600px,"Solve a basic addition problem and match the result with the correct numeral.","The activity is organized with a description at the top, followed by a grid layout with an equation and three possible answers.","45 + 12 = 57. The correct answer is '57.'"

2nd year fundamental,"addition, problem-solving, logical reasoning",sports equipment,600px,"Calculate the total number of soccer balls Leo has by adding balls received from his coach and friend.","The activity begins with a description, followed by an illustration of Leo holding soccer balls on a soccer field. Below the image, a question prompts the student to calculate the total.","Leo received 6 balls from his coach and 5 from his friend: 6 + 5 = 11 balls."

2nd year fundamental,"addition, logical reasoning",hobbies,600px,"Calculate the total number of stamps collected by Paul by adding the stamps received from two friends.","The activity includes a description at the top, followed by an illustration of Paul with his stamp collection. Below, a question prompts the calculation.","Paul received 11 stamps from one friend and 9 from another: 11 + 9 = 20 stamps."

2nd year fundamental,"counting, addition",fruits,800px,"Count apples and oranges and calculate the total number of fruits.","The activity includes a description, followed by an image of baskets with apples and oranges. Below, a question prompts the total calculation.","Apples (7) + oranges (6) = 13 fruits."

2nd year fundamental,"addition, counting",numbers,600px,"Solve a basic addition problem and match the result with the correct numeral.","The activity is organized with a description, followed by a grid layout with an equation and three possible answers.","18 + 24 = 42. The correct answer is '42.'"

2nd year fundamental,"addition, counting",numbers,600px,"Solve a basic addition problem and match the result with the correct numeral.","The activity includes a description, followed by a grid layout with an equation and three possible answers.","30 + 25 = 55. The correct answer is '55.'"

2nd year fundamental,"addition, problem-solving, logical reasoning",painting and art,600px,"Calculate the total number of paint jars Ana has by adding jars received from two friends.","The activity includes a description, followed by an illustration of Ana holding paint jars. Below the image, a question prompts the calculation.","Ana received 8 jars from one friend and 7 from another: 8 + 7 = 15 jars."

2nd year fundamental,"counting, addition","Christmas Secret Santa",600px,"Count the number of gifts and participants and calculate total exchanges in a Secret Santa activity.","The activity includes a description, followed by an illustration of children exchanging gifts. Below, three questions prompt the student to count and calculate.","7 children, 7 gifts, 14 exchanges."

2nd year fundamental,"addition, problem-solving, logical reasoning",flowers and gardening,600px,"Calculate the total number of flowers Maria has in her garden by adding flowers planted last week and this week.","The activity includes a description, followed by an illustration of Maria in her garden. Below, a question prompts the calculation.","12 flowers last week + 8 flowers this week = 20 flowers."

2nd year fundamental,"addition, counting",stars, night sky,600px,"To identify and add even and odd numbers in a night sky scene.","The activity contains a description, an image of stars with numbers, and answer boxes for sums.","Even numbers: 2 + 4 + 6 = 12, Odd numbers: 1 + 3 + 5 = 9."


2nd year fundamental,"addition, counting",books and bookmarks,850px,"Practice basic addition by counting books and bookmarks and calculating the total.","Grid layout with 5 cells: images of books, bookmarks, plus/equal signs, and result box.","Books: 4, Bookmarks: 6, Total: 10."


2nd year fundamental,"addition, counting, problem-solving",school office,900px,"Connect office supplies to the desk, count the items, and calculate the total.","Grid with supplies and a desk. Answer box below for the total.","Supplies: Pencils (5), Notebooks (4), Erasers (6). Total: 15."


2nd year fundamental,"addition, counting, problem-solving",groceries and scales,800px,"Calculate the total weight of apples and watermelon by adding their weights.","Single-line layout with 3 columns showing scales with apples, watermelon, and both.","Apples: 15 kilos, Watermelon: 8 kilos, Total: 23 kilos."

2nd year fundamental,"counting, addition",fruits at the market,600px,"Count fruits at a market stall and calculate the total number of fruits.","Centered image of fruits, with questions and blank boxes for answers.","Apples: 5, Bananas: 4, Total: 9."


2nd year fundamental,"addition, problem-solving",tropical fruits,600px,"Add even and odd numbers labeled on tropical fruits.","Image of tropical fruits with numbers, followed by questions for calculations.","Even numbers: 4 + 6 + 8 = 18, Odd numbers: 7 + 5 = 12."


2nd year fundamental,"counting, addition, logical reasoning",robots and gears,600px,"Count robots and gears in the image and calculate the total.","Centered image of robots and gears, with questions for counting and total.","Robots: 4, Gears: 6, Total: 10."


2nd year fundamental,"counting, addition",toys,800px,"Count toy cars and trucks and calculate the total number of toys.","Image of toy cars and trucks with questions and answer boxes.","Toy cars: 8, Trucks: 6, Total: 14."


2nd year fundamental,"counting, logical reasoning",Brazilian folklore,600px,"Count characters from Brazilian folklore and calculate the total.","Image of folklore characters with questions for counting and total.","Curupira: 3, Saci: 2, Total: 5."

2nd year fundamental,"addition, counting, problem-solving",ages,800px,"Calculate the combined age of two siblings.","Images showing siblings' ages, with a box for the total.","Older sibling: 12, Younger sibling: 8, Total: 20."


2nd year fundamental,"addition, counting",gardening,600px,"Count the number of flowers each child has picked, connect the child to the image with the most flowers, and write down the sum of the two linked images.","3 sections: (1) Description, (2) 2x2 grid with child and vases, (3) Answer box.","Child's flowers: 4, Vase flowers: 6, Total: 10."


2nd year fundamental,"word recognition, letter counting, logical reasoning",Easter,600px,Observe Easter-related words and count the number of letters in each word.,"Illustration at top, words with blank boxes below for answers.","Coelho: 6, Chocolate: 9, Ovo: 3."


2nd year fundamental,"counting, addition, creativity",houses,800px,Calculate total houses in a village and draw the correct number.,"Paragraph at top, landscape image with space to draw houses.","Existing houses: 3, New houses: 2, Total: 5."


2nd year fundamental,"addition, counting",toys,850px,"Count toy cars and toy dolls, then calculate the total.","Grid layout: images of cars, dolls, plus/equal signs, and result box.","Toy cars: 9, Dolls: 8, Total: 17."


2nd year fundamental,"addition, counting",fruit baskets,600px,"Count fruits in each basket, connect to the one with most fruits, calculate total.","2x2 grid: child with basket, two baskets, and answer box.","Child: 2, Basket with most fruits: 7, Total: 9."


2nd year fundamental,"addition, logical reasoning, problem-solving",daycare enrollment,600px,Calculate total babies enrolled by adding current enrollments and new ones.,"Scenario description, daycare illustration, question and answer box.","Enrolled: 45, New: 12, Total: 57."


2nd year fundamental,"counting, logical reasoning",Halloween Costumes,600px,Count Halloween costumes in the image and calculate the total.,"Description, centered image of costumes, questions with answer boxes.","Witches: 4, Vampires: 3, Total: 7."


2nd year fundamental,"addition, counting",school supplies,850px,"Count notebooks and pens, then calculate the total.","Grid layout: images of notebooks, pens, plus/equal signs, and result box.","Notebooks: 4, Pens: 7, Total: 11."


2nd year fundamental,"counting, addition",forest animals,600px,"Count squirrels and birds, then calculate the total.","Description, centered forest scene, questions with answer boxes.","Squirrels: 9, Birds: 6, Total: 15."


2nd year fundamental,"counting, addition",stars,800px,Count and draw the total number of stars in the night sky.,"Paragraph at top, centered image of night sky.","Stars already present: 5, New stars: 4, Total: 9."


2nd year fundamental,"counting, addition",carnival parade,600px,"Count masks and hats, then calculate the total.","Description, centered parade image, questions with answer boxes.","Masks: 7, Hats: 5, Total: 12."


2nd year fundamental,"addition, counting",supermarket,850px,"Count oranges and watermelons, then calculate the total.","Grid layout: images of oranges, watermelons, plus/equal signs, and result box.","Oranges: 4, Watermelons: 3, Total: 7."


2nd year fundamental,"['addition', 'counting']",ice cream shop,600px,"Count the number of ice creams each child is holding, connect the child to the tray with the most ice creams, and write down the sum of the two linked images.",7

2nd year fundamental,"['addition', 'counting', 'problem-solving']",weights,900px,Count the total weight of three different boxes and draw the combined total in a larger box.,10 kg

2nd year fundamental,"['counting', 'addition']",school supplies,800px,To practice counting and basic addition by observing the number of pencils and erasers in the image and calculating the total.,15

2nd year fundamental,"['addition', 'subtraction', 'comparison']",toy collections,600px,"Calculate the total number of toys each child has, compare the totals, and determine who has more toys and by how many.","Anna, 3"

2nd year fundamental,"['counting', 'addition', 'categorization']",School Party Contributions,600px,Count and add the number of food items brought by the students for the school party.,8

2nd year fundamental,"['addition', 'counting']",apple orchard,600px,"Count apples on a tree and add a specific number to the count, then illustrate the new total.",12 apples

2nd year fundamental,"['addition', 'counting']",animals,600px,Perform addition operations and match the results to the corresponding images of animals.,"10 birds, 8 rabbits, 13 turtles"

2nd year fundamental,"['addition', 'counting']",fruit salad,600px,"Count the number of banana and apple slices, then calculate the total.",14

2nd year fundamental,"['addition', 'logical reasoning', 'problem-solving']",amusement park,600px,Calculate the total number of people in the queue by adding the people initially waiting with those who joined later.,417
